測站名稱,所在縣市,緯度,經度,距離台北車站(公里),AQI,主要污染物,空氣品質狀態
基隆,基隆市,25.129167,121.760056,26.1,36,,良好
汐止,新北市,25.06624,121.64081,12.64,31,,良好
新店,新北市,24.977222,121.537778,8.12,35,,良好
土城,新北市,24.982528,121.451861,9.79,31,,良好
板橋,新北市,25.012972,121.458667,7.04,33,,良好
新莊,新北市,25.037972,121.4325,8.58,34,,良好
菜寮,新北市,25.06895,121.481028,4.32,34,,良好
林口,新北市,25.07798949,121.36548982,15.63,29,,良好
淡水,新北市,25.1645,121.449239,14.66,33,,良好
士林,臺北市,25.10334003,121.51666356,6.18,27,,良好
中山,臺北市,25.062361,121.526528,1.88,36,,良好
萬華,臺北市,25.046503,121.507972,0.92,31,,良好
古亭,臺北市,25.020608,121.529556,3.28,31,,良好
松山,臺北市,25.05,121.578611,6.21,36,,良好
大同,臺北市,25.06331455,121.51342074,1.76,52,細懸浮微粒,普通
桃園,桃園市,24.9947107,121.30500531,22.16,41,,良好
大園,桃園市,25.06100357,121.20251473,31.71,50,,良好
觀音,桃園市,25.03556747,121.08283092,43.76,32,,良好
平鎮,桃園市,24.952786,121.203986,33.27,55,細懸浮微粒,普通
龍潭,桃園市,24.86400048,121.21645772,36.55,32,,良好
湖口,新竹縣,24.90009696,121.03886894,50.92,31,,良好
竹東,新竹縣,24.74091408,121.08895493,55.03,25,,良好
新竹,新竹市,24.8056356,120.97236752,61.17,29,,良好
頭份,苗栗縣,24.69690679,120.89869286,73.57,26,,良好
苗栗,苗栗縣,24.56499183,120.82011468,88.49,26,,良好
三義,苗栗縣,24.38248443,120.75956754,106.43,26,,良好
豐原,臺中市,24.25699731,120.74252414,117.72,42,,良好
沙鹿,臺中市,24.225628,120.568794,132.45,41,,良好
大里,臺中市,24.09961111,120.67844444,135.3,65,細懸浮微粒,普通
忠明,臺中市,24.151958,120.641092,133.28,52,細懸浮微粒,普通
西屯,臺中市,24.162197,120.616917,134.08,44,,良好
彰化,彰化縣,24.066,120.541519,147.14,55,細懸浮微粒,普通
線西,彰化縣,24.131672,120.469061,146.98,42,,良好
二林,彰化縣,23.925175,120.409653,167.75,96,懸浮微粒,普通
南投,南投縣,23.913,120.685306,151.68,82,細懸浮微粒,普通
斗六,雲林縣,23.711853,120.544994,178.21,101,細懸浮微粒,對敏感族群不健康
崙背,雲林縣,23.757547,120.348742,185.95,56,細懸浮微粒,普通
新港,嘉義縣,23.554839,120.345531,204.09,67,細懸浮微粒,普通
朴子,嘉義縣,23.46538,120.2478,217.98,58,細懸浮微粒,普通
臺西,雲林縣,23.702175,120.19933333,200.49,45,,良好
嘉義,嘉義市,23.46477865,120.44125148,207.07,98,細懸浮微粒,普通
新營,臺南市,23.305633,120.31725,228.77,72,細懸浮微粒,普通
善化,臺南市,23.11337642,120.29740529,248.18,90,懸浮微粒,普通
安南,臺南市,23.048197,120.2175,258.55,96,細懸浮微粒,普通
臺南,臺南市,22.98928311,120.21947897,264.12,86,細懸浮微粒,普通
美濃,高雄市,22.883583,120.530542,260.69,92,細懸浮微粒,普通
橋頭,高雄市,22.757506,120.305689,282.87,122,細懸浮微粒,對敏感族群不健康
仁武,高雄市,22.689056,120.332631,288.6,122,細懸浮微粒,對敏感族群不健康
鳳山,高雄市,22.628126,120.357422,293.76,118,細懸浮微粒,對敏感族群不健康
大寮,高雄市,22.56413611,120.425311,297.66,111,細懸浮微粒,對敏感族群不健康
林園,高雄市,22.4795,120.41175,306.93,121,細懸浮微粒,對敏感族群不健康
楠梓,高雄市,22.733667,120.328289,284.28,116,細懸浮微粒,對敏感族群不健康
左營,高雄市,22.674861,120.292917,291.74,112,細懸浮微粒,對敏感族群不健康
前金,高雄市,22.63390278,120.28676111,296.14,113,細懸浮微粒,對敏感族群不健康
前鎮,高雄市,22.6044507,120.30833356,298.2,116,細懸浮微粒,對敏感族群不健康
小港,高雄市,22.565833,120.337736,300.92,121,細懸浮微粒,對敏感族群不健康
屏東,屏東縣,22.673081,120.488033,284.03,107,細懸浮微粒,對敏感族群不健康
潮州,屏東縣,22.523108,120.561175,297.1,116,細懸浮微粒,對敏感族群不健康
恆春,屏東縣,21.958069,120.788928,351.49,27,,良好
臺東,臺東縣,22.755358,121.15045,257.62,32,,良好
花蓮,花蓮縣,23.971306,121.599769,119.99,33,,良好
陽明,臺北市,25.182722,121.529583,15.06,38,,良好
宜蘭,宜蘭縣,24.747917,121.746394,40.59,31,,良好
冬山,宜蘭縣,24.632203,121.792928,53.95,33,,良好
三重,新北市,25.072611,121.493806,3.62,55,二氧化氮,普通
中壢,桃園市,24.953278,121.221667,31.56,48,,良好
竹山,南投縣,23.756389,120.677306,166.88,93,細懸浮微粒,普通
永和,新北市,25.017,121.516306,3.43,33,,良好
復興,高雄市,22.608711,120.312017,297.62,118,細懸浮微粒,對敏感族群不健康
埔里,南投縣,23.968842,120.967903,132.21,88,細懸浮微粒,普通
馬祖,連江縣,26.153736,119.952724,199.32,43,,良好
金門,金門縣,24.432133,118.312256,330.8,80,細懸浮微粒,普通
馬公,澎湖縣,23.569031,119.566158,257.13,33,,良好
關山,臺東縣,23.045083,121.161933,225.59,31,,良好
麥寮,雲林縣,23.753506,120.251825,192.68,47,,良好
富貴角,新北市,25.29681695,121.53656894,27.76,43,,良好
大城,彰化縣,23.85493056,120.26964167,183.12,33,,良好
臺灣大道,臺中市,24.1589,120.6567111,131.66,60,細懸浮微粒,普通
員林,彰化縣,23.9615945,120.5631893,154.6,68,細懸浮微粒,普通
林森,臺南市,22.98522502,120.22216042,264.37,98,細懸浮微粒,普通
南投（鹿谷）,南投縣,23.71867609,120.7944772,164.91,75,細懸浮微粒,普通
屏東（琉球）,屏東縣,22.35222,120.37722,321.41,117,細懸浮微粒,對敏感族群不健康
新北（樹林）,新北市,24.94902778,121.38352778,17.37,47,,良好
屏東（枋山）,屏東縣,22.260899,120.651472,322.18,59,懸浮微粒,普通
嘉義（東區）,嘉義市,23.51301,120.44452,202.34,84,細懸浮微粒,普通
