序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,TWD97_lon,TWD97_lat
693,高雄市彌陀區,漯底里,樂安路1號,0.0,22.764013,高雄市彌陀區南安國民小學（備用）,全區調度配合,100,"水災,震災,海嘯",鍾姮潔,07-6191810#40,是,否,是,-6596352.059663502,15647341.523418278
792,高雄市美濃區,吉洋里,南中街3號,0.0,22.866835,高雄市立南隆國民中學,清水里,2541,"水災,震災,土石流,海嘯",南隆國中,07-6831153,否,否,否,-6586193.097765826,15631749.262016179
810,高雄市旗山區,東平里,樹人路21號,0.0,22.8845,國立旗美高級中學（備用）,東平里、東昌里、廣福里,100,"水災,震災",庶務組組長唐瑞明,6612502＃510,是,否,是,-6584446.048718123,15629074.444284942
11,連江縣莒光鄉,福正村,1號,119.985351,25.961848,福正風景管理處,福正村,0,,曹鳳金,0836-89338,否,否,否,148389.73350260773,2872714.4334098464
13,連江縣莒光鄉,田沃村,52號,119.944922,25.972438,田沃老人活動中心,田沃村,0,,曹以樹,0836-89146,否,否,否,144350.2234166243,2873919.697652639
17,桃園市新屋區,石牌里,東興路二段568號,121.051297,26.0,石牌社區活動中心,石牌里,50,"水災,震災",江紘,4778168,是,否,是,255135.2252628993,2876547.8967834385
28,臺東縣臺東市,,營區位置恕不敘明,119.752122,27.0,空軍第737戰術戰鬥機聯隊,臺東縣異地收容,329,,王詳閩少校,089-223911-872103,否,否,否,126148.59523359717,2987943.899071018
33,桃園市新屋區,後庄里,東福路二段515號,121.011554,26.870923,後庄社區活動中心,後庄里,50,"水災,震災",江紘,4778168,是,否,是,251147.98264836593,2973030.9590049856
34,桃園市新屋區,望間里,4鄰十五間25號,121.065984,26.87753,望間社區活動中心,望間里,50,"水災,震災",江紘,4778168,是,否,是,256555.65985524448,2973764.6058525112
35,桃園市新屋區,社子里,7鄰3之1號,121.085281,26.886062,社子社區活動中心,社子里,50,水災,江紘,4778168,是,否,是,258472.22509902646,2974711.015858807
36,桃園市新屋區,頭洲里,校前路48號,121.130215,26.888575,頭洲社區活動中心,頭洲里,50,"水災,震災",江紘,4778168,是,否,是,262935.90261011885,2974993.2294955207
37,桃園市新屋區,深圳里,4鄰20之5號,121.007673,26.890879,深圳社區活動中心,深圳里,50,"水災,震災",江紘,4778168,是,否,是,250762.24027051407,2975241.8663741653
38,桃園市新屋區,東明里,3鄰5號,121.078766,26.894742,東明社區活動中心,東明里,50,"水災,震災",江紘,4778168,是,否,是,257824.39544918234,2975672.260825448
39,桃園市新屋區,九斗里,長祥路1098號,121.117328,26.896771,九斗社區活動中心,九斗里,50,"水災,震災",江紘,4778168,是,否,是,261654.83174149122,2975900.0208938704
40,桃園市新屋區,?榔里,8鄰9號,121.06181,26.898658,?榔社區活動中心,?榔里,50,"水災,震災",江紘,4778168,是,否,是,256139.82137588097,2976105.183116691
41,桃園市新屋區,下田里,4鄰中山西路2段780號,121.054326,26.908939,下田社區活動中心,下田里,50,"水災,震災",江紘,4778168,是,否,是,255395.91847750722,2977243.884092938
42,桃園市新屋區,永安里,13鄰保生路55號,121.02689,26.915734,永安社區活動中心,永安里,50,"水災,震災",江紘,4778168,是,否,是,252670.68347181106,2977995.835320061
43,桃園市新屋區,石磊里,三民路二段276號,121.079829,26.921813,石磊社區活動中心,石磊里,50,"水災,震災",江紘,4778168,是,否,是,257928.0997999938,2978671.5517932954
44,桃園市新屋區,永興里,永慶一路273號,121.031521,26.92647,永興社區活動中心,永興里,50,"水災,震災",江紘,4778168,是,否,是,253130.3327461704,2979185.395881213
78,臺東縣金峰鄉,正興村,"5鄰105號No.105,Zhengxing,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",120.237198,21.201237,介達國小 Jieda Elementary School,正興村,100,,田桂香,089-781583,是,否,否,170804.1398875966,2345313.6204128875
79,新竹縣湖口鄉,信勢村,成功路360號,121.0376,21.9002,湖口鄉信勢國小禮堂,信勢村、德盛村、波羅村,385,"震災,土石流,海嘯",林志華,03-5993911,是,否,是,253884.97928273748,2422507.864083401
89,臺東縣蘭嶼鄉,紅頭村,臺東縣蘭嶼鄉紅頭村1-1號,121.5546,22.0211,舊蘭嶼國小,紅頭村,100,"水災,土石流,海嘯",周孋珠,（089）731633,是,否,否,307255.6333366662,2435997.1782543147
94,臺東縣蘭嶼鄉,紅頭村,1號 之1,121.5266,22.0302,蘭嶼國民小學,蘭嶼國小附近住戶,100,"水災,震災,土石流,海嘯",許淑貞,（089）731576,是,否,是,304361.4439992876,2436994.530045173
133,臺東縣卑南鄉,東興村,東興村東園一街40號,121.016385,22.301654,大南國民小學,東興村,50,,李玉如,089-382402,否,否,否,251688.17985190978,2466956.694917577
160,屏東縣屏東市,永安里,建興南路35號,120.2857,22.3931,屏東市復興公園,永安里,1067,,黃祥生,7560101#502,否,是,否,176450.85382390016,2477256.524962514
161,屏東縣屏東市,崇武里,建國路25號,120.2912,22.3948,國立屏東高級工業職業學校,永安里2,2523,"水災,震災",張明誌,08-7523781#200,是,是,否,177018.07887547585,2477442.087462256
163,屏東縣屏東市,豐榮里,自由、大連、廣東、勝利東路廓內,120.2952,22.4044,屏東市千禧公園,豐榮里,1734,"水災,震災",蔡育霖,7560101#503,否,是,否,177434.93875130697,2478503.165521348
166,屏東縣屏東市,廣興里,監理站對面,120.2915,22.413,屏東市廣興公園,廣興里,755,"水災,震災",蔡育霖,7560101#503,否,是,否,177058.46816511438,2479457.241309092
245,高雄市小港區,濟南里,飛機路153號,118.569662,22.555905,高雄市小港區青山國民小學,山東、濟南、青島,300,"水災,震災,海嘯",鍾享龍,8014543＊110,否,否,否,-0.33131946754292585,2497143.2252158984
551,臺東縣綠島鄉,公?村,公?5鄰1號,121.4807,22.6777,公館社區活動中心,公館村,30,"水災,震災,土石流",鄭志雄,089-672517,是,否,是,299394.28137912106,2508674.511275563
605,高雄市大樹區,姑山里,姑山路1號,119.464848,22.702543,高雄市大樹區姑山國民小學,檨腳里、姑山里,239,"水災,震災,土石流,海嘯",李家賢,07-6561349轉30,否,否,否,92272.00569964168,2512161.1090090065
693,高雄市彌陀區,漯底里,樂安路1號,0.0,22.764013,高雄市彌陀區南安國民小學（備用）,全區調度配合,100,"水災,震災,海嘯",鍾姮潔,07-6191810#40,是,否,是,-6596352.059663502,15647341.523418278
792,高雄市美濃區,吉洋里,南中街3號,0.0,22.866835,高雄市立南隆國民中學,清水里,2541,"水災,震災,土石流,海嘯",南隆國中,07-6831153,否,否,否,-6586193.097765826,15631749.262016179
810,高雄市旗山區,東平里,樹人路21號,0.0,22.8845,國立旗美高級中學（備用）,東平里、東昌里、廣福里,100,"水災,震災",庶務組組長唐瑞明,6612502＃510,是,否,是,-6584446.048718123,15629074.444284942
1022,彰化縣芬園鄉,圳墘村,彰南路二段36號,120.0,23.0,寶山國小,縣庄村 溪頭村 圳墘村,100,"水災,震災,土石流,海嘯",許安柔,049-2523968,否,否,否,147484.07577806525,2544632.70497163
1023,彰化縣芬園鄉,中崙村,大彰路二段100巷36號,120.0,23.0,同安國小,同安村 中崙村 大竹村,100,"水災,震災,土石流,海嘯",許安柔,049-2523968,是,否,是,147484.07577806525,2544632.70497163
3022,南投縣國姓鄉,北山村,中正路4段112號,117.874241,23.982156,北山社區活動中心,北山村,50,"水災,震災,土石流,海嘯",劉煥鋒村長,0921-786113,是,否,是,-68169.96394074603,2656576.8574722684
3082,屏東縣滿州鄉,里德村,山頂路57號隔壁,118.0,24.0,里德社區活動中心,里德村,60,"水災,土石流,海嘯",宋仁宗,08-8801358,是,否,是,-55318.79411566426,2658276.272003131
3246,臺中市大肚區,社腳里,沙田路一段364號,120.34069,24.07197,追分國小多功能教室,該收容處所亦有附屬空地可供使用﹝面積6974平方公尺﹞,100,"水災,土石流,海嘯",賴如足,04-26932604,是,否,是,182957.10923681117,2663150.9743048954
3413,臺中市東區,泉源里,樂業路60號,120.194202,24.138354,臺中市東區樂業國小,泉源、旱溪、樂成.,450,"水災,震災",張添琦,04-22121293,是,是,否,168102.899222832,2670581.090754338
3735,臺中市石岡區,土牛里,石岡區土牛里德成巷1之2號,120.0892,24.2655,土牛活動中心,土牛,40,"水災,震災",黃三榮,04-25818635,是,否,是,157522.25812953705,2684729.0927351457
3752,金門縣金沙鎮,大洋里,大洋里東山22號,118.271,24.274,金沙鎮大洋里辦公處,金門縣金沙鎮大洋里,30,"水災,震災,土石流",吳有泰,082-335089,是,否,否,-27131.643628482707,2688082.9905916722
3761,臺中市霧峰區,峰谷里,峰谷路496號,120.4318,24.279,峰谷國小南棟教室,峰谷,900,"水災,震災,土石流",陳世穎-洪英恆,04-23399271,是,是,是,192315.10789791812,2686039.753839075
3762,金門縣金沙鎮,何斗里,何斗里斗門55-3號,118.24,24.282,金沙鎮何斗里辦公處,金門縣金沙鎮何斗里,80,"水災,震災,土石流,海嘯",陳金德,082-351872,是,否,否,-30263.751277706062,2689031.756947502
3763,金門縣金沙鎮,三山里,三山里碧山58-1號,118.245,24.282,金沙鎮三山里辦公處,金門縣金沙鎮三山里,30,"水災,震災,土石流",陳賜發,082-351840,是,否,否,-29755.76606115891,2689021.695352087
3764,金門縣金沙鎮,浦山里,浦山里浦邊4-3號,118.232,24.284,金沙鎮浦山里辦公處,金門縣金沙鎮浦山里,30,"水災,震災,土石流",周家才,082-352848,是,否,否,-31072.122985813185,2689269.5683674356
3765,金門縣金沙鎮,光前里,光前里陽翟96-5號,118.253,24.284,金沙鎮光前里辦公處,金門縣金沙鎮光前里,80,"水災,震災,土石流",翁麗治,082-353833,是,否,否,-28938.618611577258,2689227.3070605365
3769,金門縣金沙鎮,汶沙里,汶沙里國中路1-1號,118.245,24.291,金沙鎮汶沙里辦公處,金門縣金沙鎮汶沙里,30,"水災,震災,土石流",張瀚龍,082-352556,是,否,否,-29736.022628166655,2690019.225042134
3779,金門縣金沙鎮,西園里,西園里西園1-3號,118.242,24.303,金沙鎮西園里辦公處,金門縣金沙鎮西園里,30,"水災,震災,土石流",黃木林,082-354628,否,否,否,-30014.42795906699,2691355.304707102
3794,金門縣金沙鎮,官嶼里,官嶼里官澳82-2號,118.245,24.311,金沙鎮官嶼里辦公處,金門縣金沙鎮官嶼里,30,"水災,震災,土石流",楊恭勤,082-351715,是,否,否,-29692.12366332067,2692235.9609369994
4151,南投縣草屯鎮,新豐里,番子田路100號,120.000836,24.676621,新豐社區活動中心,新豐里,80,"水災,震災",林資湖理事長,049-2362158,是,否,否,148878.6571837202,2730328.4334009103
4265,新竹縣竹東鎮,仁愛里,大同路257號,121.891,24.7328,中山社區活動中心,雞林里、中山里,93,"水災,土石流,海嘯",何佳紋,03-5966177＃206,是,否,是,340133.4412150466,2736475.7713677613
4532,新竹縣新豐鄉,松林村,康樂路一段516號,120.5854,24.8756,松林社區活動中心,松林村松柏村,60,"水災,震災,土石流",徐茂淦,35597912,是,否,是,208108.0013943124,2752062.6674703816
4620,臺中市霧峰區,北柳里,霧峰區北柳里國中路110號,120.4141,24.917,霧峰國中行政大樓地下室,北柳,175,"水災,震災,土石流",郭志強--林芝萍,04-23393175#230,是,是,是,190818.91886868066,2756711.8701475523
4621,臺中市霧峰區,本堂里,中正路736號,120.41411,24.917,霧峰國小志文樓地下室,本堂、中正,800,"水災,震災",吳佳容,04-23393069#731,是,是,是,190819.92897998157,2756711.865795659
4622,臺中市霧峰區,北柳里,國中路110號,120.41411,24.917,霧峰國中行政大樓地下室,北柳,1381,"震災,土石流",謝龍卿-葉美蕙,04-23393175#230,是,是,是,190819.92897998157,2756711.865795659
5030,彰化縣彰化市,忠孝里,辭修路200號,120.0,25.0,忠孝國小,西勢里萬壽里長樂里忠孝里忠權里五權里西興里,703,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,149056.68728175483,2766149.8719077357
5031,臺北市士林區,蘭雅里,中山北路六段392號,121.0,25.0,士東國小,蘭雅里,63,,吳志豪,02-28710064,否,否,否,250000.0,2765777.5636462052
5945,嘉義縣竹崎鄉,義仁村,義仁村7鄰坪頂14-1號,120.5472,25.5234,義仁社區活動中心,義仁村,30,土石流,翁國卿,05-2110551,是,否,否,204489.59346901285,2823829.8307101554
5946,宜蘭縣礁溪鄉,六結村,中山路二段3號,117.8236,25.7717,礁溪鄉公所二樓,六結村,38,"水災,震災,土石流,海嘯",林玫瑩,03-9881311-112,是,否,是,-68696.44312057062,2855100.4538440485
5947,連江縣南竿鄉,仁愛村,95號,119.9311,26.1409,仁愛國小教室,仁愛村,0,"水災,震災,土石流",曹正偉,912547147,是,否,是,143119.02807803033,2892594.7900627744
5966,桃園市新屋區,蚵間里,2鄰14號,121.004719,26.871407,蚵間社區活動中心,蚵間里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,250468.8685334538,2973084.5379776563
5967,桃園市新屋區,埔頂里,2鄰34號,121.105768,26.876735,埔頂社區活動中心,埔頂里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,260508.36604267123,2973679.2055878215
5968,桃園市新屋區,大坡里,5鄰三角堀5號,121.029795,26.882838,大坡社區活動中心,大坡里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,252960.06216051104,2974351.323580002
5969,桃園市新屋區,新生里,中山路370號,121.095164,26.898771,新屋區婦幼館,新生里等,100,"水災,震災",蕭秀卿,03-4778168,是,否,是,259452.99259568471,2976119.7558116
5970,桃園市新屋區,笨港里,2鄰榕樹下10之1號,121.024039,26.900275,笨港社區活動中心,笨港里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,252387.8506663661,2976283.0602784986
5971,桃園市新屋區,赤欄里,8鄰中山西路2段280號,121.064953,26.905677,赤欄社區活動中心,赤欄里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,256451.62866400403,2976882.981010325
5972,桃園市新屋區,後湖里,6鄰7之6號,121.082269,26.908804,後湖社區活動中心,後湖里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,258171.3617125165,2977230.4245764585
5973,桃園市新屋區,下埔里,4鄰9之4號,121.045155,26.933159,下埔社區發展協會,下埔里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,254484.05322835193,2979926.889542172
